Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
TELEBRAS,TELB3,"Serviços de Comunicação",1423723896.84,10.60,-4.17,-2.88,0.4417,-0.2103,-3.7981,-0.3503,-0.0585,,0.4962,52.25,6.29
TAESA,TAEE11,Utilities,14243023665.59,9.38,1.95,1.53,0.2095,0.1183,0.3417,0.5507,0.5066,-0.0693,0.0536,4.37,1.57
"BOA SAFRA",SOJA3,Materiais,957843144,50.59,0.76,0.14,0.0148,0.0310,0.0076,0.1029,0.0577,0.0689,0.3483,2.13,6.77
SERENA,SRNA3,"Energia - Diversos",,665.05,1.40,0.02,0.0022,0.1004,0.0018,0.1707,0.2618,,,6.20,1.29
SONDOTECNICA,SOND3,Indústria,153235460,2.66,1.40,14.55,0.5186,0.5006,0.1580,0.3794,0.2572,0.1113,0.2862,-0.88,1.55
"SUZANO S.A.",SUZB3,Materiais,63762092500.6,4.89,1.50,10.61,0.3146,0.0529,0.2675,0.3238,0.4274,-0.2301,0.1047,3.25,3.19
"SYN PROP TEC",SYNE3,Imobiliário,630421557.85,9.49,0.91,0.42,0.0731,0.0376,0.1973,0.5310,0.4872,0.0499,-0.0759,1.47,1.30
SANSUY,SNSY3,Materiais,38921891.2,-0.31,-0.04,-36.64,0.1322,0.0203,-0.2897,0.1950,-0.0187,-0.3020,0.1380,-13.98,0.65
"SAO MARTINHO",SMTO3,Utilities,6771708914.67,5.78,0.97,3.67,0.1749,0.1139,0.1762,0.2460,0.4917,0.0718,0.1001,2.38,2.87
SCHULZ,SHUL3,Indústria,5320348208.56,34.55,6.66,0.81,0.1916,0.0494,0.1491,0.2352,0.1088,0.1530,0.1302,-0.63,2.60
SIMPAR,SIMH3,Indústria,6452508589.67,176.19,1.54,0.07,0.0114,0.0338,0.0009,0.2617,0.2783,-0.2975,0.3483,3.70,1.19
"SLC AGRICOLA",SLCE3,"Consumo Básico",9296624135.2,16.80,1.85,1.11,0.1090,0.0959,0.0569,0.3001,0.2393,0.0260,0.2030,2.18,1.80
"SMART FIT",SMFT3,"Consumo Discricionário",11355273024.92,18.48,2.09,1.04,0.1133,0.1222,0.0882,0.4249,0.4786,0.4278,0.4196,1.17,1.32
"TIME FOR FUN",SHOW3,"Consumo Discricionário",29459314.94,-0.57,0.29,-7.76,-0.4520,-0.0153,-0.2894,0.2729,0.0176,0.4691,0.3522,-7.05,1.30
"SEQUOIA LOG",SEQL3,Indústria,1497839550.72,-0.14,-2.41,-39.59,-2.7044,-0.5064,-1.3366,-0.1152,-0.7873,,,-1.08,0.17
SABESP,SBSP3,Utilities,106525516522.72,14.21,2.63,10.55,0.1820,0.1206,0.2081,0.3702,0.3803,0.1869,0.2618,1.92,1.12
SANEPAR,SAPR11,Utilities,13303646079.75,6.47,1.09,1.38,0.1726,0.0901,0.2886,0.5627,0.3595,0.1585,0.0847,0.69,1.20
"GRUPO SBF",SBFG3,"Consumo Discricionário",2844178487.9,9.16,0.98,1.34,0.1107,0.1125,0.0424,0.4828,0.1340,0.5543,0.2630,2.18,1.36
"SAO CARLOS",SCAR3,Imobiliário,872410890.09,13.46,0.81,1.11,0.0457,0.0305,0.2147,0.4882,0.3935,-0.0592,-0.0245,3.60,1.78
"SER EDUCA",SEER3,"Consumo Discricionário",1585849619.2,12.62,1.27,0.00,0.0000,0.2062,0.0000,0.5917,0.3189,0.2178,0.1213,0.64,1.26
"ALFA HOLDING",RPAD3,Materiais,495489556.75,16.27,0.45,0.55,,,19.1307,-2.9624,,0.0000,0.0000,,20.16
